Date,Open,High,Low,Close,Adj Close,Volume,Company
2010-01-04,312.304413,313.57962,310.954468,312.204773,312.204773,3927000.0,Google
2010-01-05,312.418976,312.747742,309.609497,310.829926,310.829926,6031900.0,Google
2010-01-06,311.761444,311.761444,302.047852,302.994293,302.994293,7987100.0,Google
2010-01-07,303.562164,303.861053,295.218445,295.940735,295.940735,12876600.0,Google
2010-01-08,294.894653,300.498657,293.455048,299.885956,299.885956,9483900.0,Google
2010-01-11,301.10141,301.10141,295.910858,299.432648,299.432648,14479800.0,Google
2010-01-12,297.709106,297.963165,292.90213,294.137512,294.137512,9742900.0,Google
2010-01-13,287.16861,293.091431,285.878448,292.448822,292.448822,13041800.0,Google
2010-01-14,290.859772,295.99054,290.316833,293.823669,293.823669,8511900.0,Google
2010-01-15,295.562164,295.671753,287.940735,288.917053,288.917053,10909600.0,Google
2010-01-19,289.514832,294.107605,287.069,292.71283,292.71283,8665700.0,Google
2010-01-20,291.895905,291.895905,286.570862,289.121307,289.121307,6525700.0,Google
2010-01-21,290.630646,292.314331,285.056549,290.401489,290.401489,12662600.0,Google
2010-01-22,281.196014,284.234619,266.431335,273.978058,273.978058,13651700.0,Google
2010-01-25,272.274445,273.9133,266.755127,268.99176,268.99176,8872800.0,Google
2010-01-26,267.98053,273.773834,267.143677,270.197235,270.197235,8743600.0,Google
2010-01-27,269.62439,272.80246,266.655518,270.037842,270.037842,7958400.0,Google
2010-01-28,271.228363,272.478668,264.309296,266.1474,266.1474,6482300.0,Google
2010-01-29,268.239563,269.484894,261.823608,263.98053,263.98053,8311900.0,Google
2010-02-01,266.301849,266.904572,264.159851,265.514771,265.514771,4518400.0,Google
2010-02-02,266.481171,266.481171,262.819885,264.568329,264.568329,8223000.0,Google
2010-02-03,263.3479,270.037842,263.128723,269.400208,269.400208,6020500.0,Google
2010-02-04,267.497345,267.995483,261.798706,262.406433,262.406433,6780600.0,Google
2010-02-05,263.213409,265.753876,260.254517,264.653015,264.653015,6335600.0,Google
2010-02-08,265.255768,269.988007,264.772552,265.738953,265.738953,5408700.0,Google
2010-02-09,268.762604,269.753906,266.53595,267.218414,267.218414,5660200.0,Google
2010-02-10,266.037811,267.890869,262.859741,266.227112,266.227112,5369000.0,Google
2010-02-11,265.664215,269.23584,263.761353,267.198486,267.198486,4838000.0,Google
2010-02-12,265.489868,267.572083,264.259491,265.564606,265.564606,4576400.0,Google
2010-02-16,267.432587,271.049042,266.152405,269.639313,269.639313,7336100.0,Google
2010-02-17,269.988007,270.685394,267.801208,268.100098,268.100098,4074500.0,Google
2010-02-18,267.766357,271.487396,267.06897,270.595734,270.595734,4691200.0,Google
2010-02-19,269.255768,270.999237,268.842316,269.370331,269.370331,5125300.0,Google
2010-02-22,272.653015,272.727753,269.489899,270.386536,270.386536,4305100.0,Google
2010-02-23,270.486145,270.799988,265.151154,266.53595,266.53595,5766600.0,Google
2010-02-24,265.992981,268.214661,264.264465,264.742676,264.742676,4670500.0,Google
2010-02-25,262.575806,263.25824,259.029083,262.232086,262.232086,6643100.0,Google
2010-02-26,262.72525,264.882172,260.762604,262.416412,262.416412,4113800.0,Google
2010-03-01,263.611908,265.649292,262.884644,265.350403,265.350403,4492500.0,Google
2010-03-02,266.740204,271.811188,266.506073,269.519775,269.519775,8746200.0,Google
2010-03-03,270.167358,273.036591,268.618164,271.641815,271.641815,6201800.0,Google
